factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Coeval Textiles Ltd.",Knit,5,504,180,260000,"T-Shirts ,Polo Shirts","Barenda, Gazipur, Kashimpur",Gazipur,Kashimpur,2012,Clean
"Coit (Pvt.) Ltd.",Knit,5,70,100,35000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Chamurkhan, Dhaka, Uttarkhan",Dhaka,"Uttar Khan",2015,Clean
"Cold Asia Sweater Ltd.",Sweater,5,650,800,200000,"Sweaters ,Mens ,Ladies ,Boyes","238, Middle Gazirchat, Dhamsona, Dhaka, Dhaka",Dhaka,Dhaka,2003,Clean
"Collar Knittings",Sweater,5,300,300,60000,Sweater,"Jamgara, DEPZ Road, Dhaka, Ashulia",Dhaka,Ashulia,2014,Clean
"Colors & Stitches Ltd.",Knit,5,898,450,82000,"T-Shirts ,Polo Shirts ,Laggins ,Jacket","Dogry, Mirzapur, Gazipur, Gazipur",Gazipur,Gazipur,2016,Clean
"Colour & Fashion Inds. Ltd.",Sweater,5,1000,440,75000,"Sweaters ,Cardigans","Madhakhola, Bairagirchala, Gazipur, Sreepur",Gazipur,Sreepur,2012,Clean
"Colour Stitch Ltd.",Knit,5,550,286,550000,"Basic T-Shirts ,Polo Shirts ,Fleece Items","119, Ashkona Medical Road, Dhaka, Uttara",Dhaka,Uttara,2005,Clean
"Combine Tex Ltd.",Knit,5,135,77,500000,"T-Shirts ,Polo Shirts","1/F, North East Darussalam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2012,Clean
"Combined Apparels Ltd.",Knit,5,500,220,11250,"T-Shirts ,Panties ,Briefs","1670/2091, West Sholashahar, Chittagong, Aturar Depot",Chittagong,"Aturar Depot",2001,Clean
"Combined Knitting Limited",Knit,5,192,152,150000,"T-Shirts ,Panties ,Boxers","1670/2091, West Sholashahar, Aturar Depot, Chittagong","1670/2091, West Sholoshahar, Aturar Depot",Chittagong,1997,Clean
