factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factory_location_in_city,factory_location_in_town,year_of_establishment,factory_status
"Rhythm Fashion Ltd.",Woven,5,700,639,160000,"Shirts ,Ladies Blouses ,Jackets ,Skirts","686, CDA R/A (2nd Floor), Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,2004,Clean
"Rhythm Garments Ltd.",Knit,5,300,142,70000,"Shirts ,Blouses ,Pants ,Shorts","686, CDA R/A (2nd Floor), Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,1995,Clean
"Richman Apparels Ltd.",Woven,5,220,118,26800,"Shirts ,Pants","Gha-36/M, SA Complex (3rd & 4th Fl), Pragoti Sarani, Middle Badda, Dhaka, Badda",Dhaka,Badda,2010,Clean
"Richway Fashions Ltd.",Sweater,5,57,28,33500,Sweater,"Dhour (Sumoner Tek), Nur Modina Jam-E-Moshjid Road, Dhaka, Turag",Dhaka,Turag,2015,Clean
"Richway Ltd.",Sweater,5,16,12,14352,Sweater,"House # 6, Road # 6, Ward # 2, Kamarpara, Dhaka, Turag",Dhaka,Turag,2014,Clean
"Rider Fashions Ltd.",Knit,5,300,129,45000,"Shirts ,Overalls ,Pants","NA, Dhaka","NA,",Dhaka,1999,Clean
"Ridwan Fashions Ltd.",Knit,5,250,132,65000,"T-Shirts ,Polo Shirts ,Trousers ,Shorts","Kabir Market, 285, Asadganj, Chittagong, Asadgonj",Chittagong,Asadganj,2007,Clean
"Rime Apparels Ltd.",Woven,5,330,110,78000,"Shirts ,Jackets ,Trousers","Plot # 4, Road # 1, Block - D, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,2000,Clean
"Rimi Apparels Ltd.",Sweater,5,650,246,291000,,"Rajob Ali Super Market, 83, Dhaka, B. Baria",Dhaka,"B. Baria",2015,Clean
"RIO Fashion Wear Ltd.",Woven,5,1200,647,225000,"Shirts ,Blouses ,Pants ,Shorts","Inds. Plot # 3 (5th - 12th Floor), Milk Vita Road, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2005,Clean
"Ripon Knitwear Ltd.",Knit,5,2100,1150,1574737,"T-Shirts ,Polo Shirts ,Pant ,Hoodie","Jarun, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2008,Clean
"Rishal Garments Ltd.",Woven,5,890,530,400000,"Shirts ,Shorts ,Trousers ,Dress","Sharoj Tower, Plot # M-4/2, Section # 14, Dhaka, Mirpur",Dhaka,Mirpur,1984,Clean
"Rising Apparels Ltd.",Woven,5,1060,406,143529,"Shirts ,Blouses ,Trousers ,Skirts","Plot # I/10, Block # K, Rupnagar I/A, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1999,Clean
"Rising Fashions Ltd.",Woven,5,333,215,74750,"Ladies Blouses ,Jackets ,Pants","Plot # I/16, Block - K, Rupnagar, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1997,Clean
"Rising Knit Textiles Ltd.",Knit,5,1371,250,600000,"T-Shirts ,Polo Shirts","Nayadighi, Manikganj, Saturia",Manikganj,Saturia,2008,Clean
"Rita Textile (Pvt) Ltd.",Knit,5,480,150,310000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Dag # 371 & 372, Gazipur, Konabari",Gazipur,Konabari,2004,Clean
"Ritz Fashions Ltd.",Woven,5,400,150,40000,"Jackets ,Coveralls ,Trousers","926, Gobindapur, Dhaka, Demra",Dhaka,Demra,1998,Clean
"Ritzy Apparels Ltd.",Knit,5,850,301,1200000,"Panties ,Sleep Wears ,Cami ,Boxer","175/A1/186, Sk Mujib Road, Chittagong, Agrabad",Chittagong,Agrabad,2005,Clean
"Ritzy Knit Designs Ltd.",Knit,5,600,131,1200000,"Ladies Sleepwears ,Panties ,Camy","3325/3898, Alankar Shopping Complex, Chittagong, Pahartali",Chittagong,Pahartoli,2008,Clean
"River Side Sweaters Ltd.",Sweater,5,950,280,208350,"Sweaters ,Cardigans ,Jumpers ,Hoody","Hesnabad , Equria, Dhaka Jute Mills, Keranigonj, Dhaka, Dhaka",Dhaka,Dhaka,2003,Clean
"Riverside Apparels Ltd.",Knit,5,350,111,60000,"Shirts ,Polo-Shirts","A.T. M. Complex Southburischar, Dhoppol, Chittagong, Hatazari",Chittagong,Hathazari,2013,Clean
"Riverstar Fashion Wear Ltd.",Knit,1,205,100,150000,"T-shirt ,Polo Shirt ,Hoodle ,Short","Gondrobpur, Rupshi,Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayanganj,2017,Clean
"RKH Apparels Ltd.",Woven,5,340,185,150000,"Shirts ,Pants","Holding # 482/5, East Dirasrom Bazar, Gazipur, Joydevpur",Gazipur,Joydebpur,2016,Clean
"RKM Apparels Ltd.",Woven,1,352,120,300000,"Shirt ,T-Shirt ,Pant ,Polo Shirt","68/X, Fauzdarhat H/I Area, Pahartali, Chattogram, Chittagong",Chittagong,Chittagong,2022,Clean
"RL Apparels Limited",Woven,1,2,87,2500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Sha # 74, Uttar Badda, Badda, Dhaka, Dhaka",Dhaka,Dhaka,2023,Clean
"RL Denim Limited",Woven,5,500,287,100000,"Jackets ,Pants","Plot # A/1 & 2, Block - B, BSCIC I/A, Shagorika Road, Chittagong, Fouzderhat",Chittagong,Fouzdarhat,1997,Clean
"RMM Knit Clothing Ltd.",Sweater,5,415,237,180000,Sweaters,"Plot # 7, Aliganj, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,2008,Clean
"RMM Sweaters Ltd.",Sweater,5,500,220,300000,Sweaters,"Nagarchar, Rajpoolbaria, Dhaka, Savar",Dhaka,Savar,2005,Clean
"RMW Fashionwear Ltd.",Knit,5,150,67,84000,"T-Shirts ,Polo Shirts","Binairchara, Duptara, Narayanganj, Araihazar",Narayanganj,Araihazar,2012,Clean
"RNP Export & Import Ltd.",Woven,5,300,95,30000,"Shirts ,Pants","Selina Tower, Islam Bag, Dhakin Khan, Dhaka, Uttara",Dhaka,Uttara,2013,Clean
"Rnsco Sweaters Ltd.",Sweater,5,470,250,144000,Sweaters,"Plot # 212, Baizid Bostami Road, Chittagong, Chittagong",Chittagong,Chittagong,2003,Clean
"Roar Fashion Ltd.",Sweater,1,1375,560,350000,,"Dakhila Madrasha Road 9 No Word, Kathali, Valuka, Mymensingh, Mymensingh",Mymensingh,Mymensingh,2017,Clean
"Robintex (Bangladesh) Ltd.",Knit,5,2812,870,1040000,"T-Shirts ,Polo Shirts ,Trousers","Vulta, Narayanganj, Rupganj",Narayanganj,Rupganj,1996,Clean
"Rocky Knitting Mills (Pvt) Ltd.",Knit,5,350,122,208000,"T-Shirts ,Singlet","Dahargaon, Balirpara, Narayanganj, Rupganj",Narayanganj,Rupganj,2000,Clean
"Roddur Apparels Ltd.",Woven,1,500,0,80000,,"45, Badey, Kalmeshore, National University, Gazipur, Gazipur",Gazipur,Gazipur,2016,Clean
"Rohan Fashion",Woven,1,1,220,130000,"Shirt ,Pant ,T-shirt ,Polo Shirt","Bhuigar, Rupayon Maingate (1), Fatullah, Narayangonj, Narayangonj",Narayanganj,Narayanganj,2022,Clean
"Romo Design Today",Woven,1,1,290,500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Mouchak, Kaliakair, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"Romo Fashion",Woven,1,395,278,400000,"Shirt ,Pant ,Jacket ,T-shirt","House # 01, Road # 01, Turag Housing, Beribadh, Mohammadpur, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"Romo Fashion Today Ltd.",Knit,5,800,450,120000,"T-Shirts ,Polo Shirts","Mouchak, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2011,Clean
"Rong Rui Garments BD Ltd.",Sweater,1,383,674,8500000,Sweater,"Tepirbari, Mawna, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2023,Clean
"Rongdhonu Sweater Ltd.",Sweater,5,425,478,30000,"Sweaters ,Cardigans ,Pullovers","North Khailkoir, Battala Road, National University, Gazipur","North Khailkoir, Battala Road, National University",Gazipur,2008,Clean
"Ronson Knitting Ltd.",Sweater,5,450,350,60000,Sweaters,"45/47, Hoque Chamber, Strand Road, Chittagong, Majhirghat",Chittagong,Majhirghat,1994,Clean
"Root Apparels Ltd.",Woven,5,490,0,11000,"Denim Shirts ,Denim Jackets ,DenimJeans ,Denim Pants","Razzak Tower, Dag # 901, 7/1, Uttara Khan, Dhaka, Dhaka",Dhaka,Dhaka,2007,Clean
"Roots Fashions Ltd.",Sweater,5,292,272,48000,Sweaters,"Mazar Co-operative Market (2nd Floor), 1, Darussakam Road, Sec # 1, Dhaka, Mirpur",Dhaka,Mirpur,1994,Clean
"Rose & Sons Fashion Ltd.",Sweater,1,120,50,75000,"Cardigan ,Pullover ,V-Neck ,Kids Sweater","Word # 14, Block # A, Holding # 214/1, Adepasha, National University, Gazipur, Gazipur",Gazipur,Gazipur,2019,Clean
"Rose Bally Toy Industries Limited",Woven,1,4,113,50000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Road # 04, Plot # 16, Chittagong EPZ, Chittagong, Chittagong",Chittagong,Chittagong,2022,Clean
"Rose Fashion Ltd.",Woven,5,4600,1333,200000,"Jackets ,Pants ,Overalls","Vogra, Gazipur, Joydevpur",Gazipur,Joydebpur,1997,Clean
"Rose Garden Apparels Ltd.",Knit,5,230,200,120000,"T-Shirts ,Polo Shirts","Nayamati Road, Kutubpur, (Opposite Osman Ali Stadium), Narayanganj, Fatullah",Narayanganj,Fatullah,2014,Clean
"Rose Sweater Ltd.",Sweater,5,1500,900,160000,"Pullovers ,Sweaters","Bejoy Sarak, Moghar Khal, Gazipur, Joydevpur",Gazipur,Joydebpur,2002,Clean
"Rose Sweaters Ltd. (U-2)",Sweater,5,480,250,120000,Sweaters,"Vogra, Bypass Bishan Road, Gazipur, Joydevpur",Gazipur,Joydebpur,2009,Clean
"Rose Valley Fashion Ltd.","Knit Composite",1,129,57,300000,"T-shirt ,Jogger ,Jacket ,Dress","Monipur, Bhabanipur, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2021,Clean
"Rowa Fashions Ltd.",Knit,5,750,250,250000,"Shirts ,T-Shirts ,Polo Shirts","Chowdhury Bari, Gazipur, Vogra",Gazipur,Vogra,2011,Clean
"Rownak Textile Mills Limited",Woven,1,222,259,200000,"Shirt ,Pant ,T-Shirt ,polo Shirt","Barpa P.O : Rupshi, Rupganj, Narayangonj, Narayangonj",Narayanganj,Narayanganj,2022,Clean
"Rowshan Apparels Ltd.",Woven,5,698,497,108000,"Jackets ,Pants ,Skirts","5773, Dakhin Khan, Chairman Bari, Dhaka, Uttara",Dhaka,Uttara,2006,Clean
"Royal Fashions Limited",Sweater,5,205,220,36000,Sweaters,"241/74, Faidabad Cowrasta, Dhaka, Dakkhinkhan",Dhaka,"Dakkhin Khan",2012,Clean
"Rozi Fashion Ltd.",Woven,1,300,250,150000,"Shirt ,Pant ,Jacket","Block # C/9/1, Autpara, Chandana, Banarupa Road, Bason, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"RPM Garments Ltd.",Knit,5,250,115,200000,"T-Shirts ,Polo Shirts","Mosharaf Tower (3rd Floor), Rajbari Road, Gazipur, Joydevpur",Gazipur,Joydebpur,2010,Clean
"RR Apparels",Knit,1,140,100,350000,"T-Shirt ,Polo Shirt ,Jacket ,Payjama","Mouchak, Kaliakair, Gazipur, Dhaka",Gazipur,Dhaka,2022,Clean
"Rudmila Knitwear Ltd.",Knit,5,650,260,650000,"T-Shirts ,Polo Shirts ,Pants ,Trousers","Kabirpur, Dhaka, Savar",Dhaka,Savar,2010,Clean
"Ruhila Garments",Woven,5,450,215,100000,"Overalls ,Jackets ,Pants","A/1, Block # C, Mazar Road, Gabtoli, Dhaka, Mirpur",Dhaka,Mirpur,1989,Clean
"Ruhul Garments Ltd.",Woven,5,250,130,40000,"Shirts ,Pants","Habib Khan Tower, 326 Sontak Road, South Kajla, Dhaka, Jatrabari",Dhaka,Jatrabari,2015,Clean
"Ruma Garments Wear Ltd.",Woven,5,450,250,15000,"Shirts ,Shorts ,Jogging Suits","26, Simanta Plaza, Road # 3, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,1999,Clean
"Rumana Fashion Ltd.",Woven,5,836,212,30000,"Jackets ,Trousers ,Suits ,Shorts","Choydana, Gazipur, Gazipur",Gazipur,Gazipur,1997,Clean
"Running Fashion Ltd. (Unit-2)",Sweater,5,450,265,60000,Sweaters,"C-124-125, BSCIC I/A, Gazipur, Tongi",Gazipur,Tongi,2009,Clean
"Running Fashion Wear Ltd.",Woven,5,325,130,36000,"Skirts ,Jogging Suits","686, CDA R/A, Road # 20, Chittagong, Agrabad",Chittagong,Agrabad,1992,Clean
"Rupa Apparels Ltd.",Knit,5,515,465,70000,Sweaters,"380/1-3, TV Avenue, East Rampura, Dhaka, Rampura",Dhaka,Rampura,1998,Clean
"Rupa Fabrics Ltd.",Knit,5,664,325,500000,"T-Shirts ,Polo Shirts ,Trousers ,Jersey","Kunia, Gazipur, Board Bazar",Gazipur,"Board Bazar",2007,Clean
"Rupa Knitwear (Pvt) Ltd.",Sweater,5,1615,1530,200000,Sweaters,"Kunia, Gazipur, Board Bazar",Gazipur,"Board Bazar",2000,Clean
"Rupa Sweater (Pvt.) Ltd.",Sweater,5,1182,995,150000,Sweaters,"380/1-2 East Rampura, Dhaka, Rampura",Dhaka,Rampura,1992,Clean
"Rupa Woolwear Ltd.",Sweater,5,550,350,0,"Sweaters ,Pullovers ,Jumpers","380/1-2, East Rampura, Dhaka, Rampura",Dhaka,Rampura,2005,Anomaly
"Rupali Garments",Woven,5,120,110,25000,"Jackets ,Jogging suits ,Dresses","75, Agrabadh Ba/A Chittagong, Chittagong, Double Mooring",Chittagong,"Double Mooring",1988,Clean
"Rupashi Fabrics Complex (Pvt) Ltd.",Knit,5,1400,415,120000,"T-Shirts ,Polo Shirts ,Sweat Shirts ,Tank Top","Lamapara, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,1995,Clean
"Rupashi Knit Wears Ltd.",Knit,5,1400,415,1200000,"T-Shirts ,Polo Shirts ,Tank Tops","Lamapara, Kutubpur, Narayanganj, Fatullah",Narayanganj,Fatullah,1996,Clean
"Rupkatha Apparels Ltd.",Woven,1,300,186,100000,"Shirt ,Pant ,Jacket ,Trouser","Raj Place Singair Road, Padma Moor (Rishipara), Hemayetpur, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"Russel Apparels",Woven,5,1250,814,416000,"Shirts ,Pants ,Jackets","Kathali, Mymensing, Bhaluka",Mymensingh,Bhaluka,2012,Clean
"Russel Garments",Woven,5,3000,4668,833000,"Shirts ,Trousers ,Scooer ,Shorts","56/1, S.M. Melah Road, Narayanganj, Tanbazar",Narayanganj,Tanbazar,1985,Clean
"Ryan Knit Ltd.",Sweater,5,350,200,50000,"Sweaters ,Cardigans ,Pullovers","1677, Air Port Road, South Halisahar, Chittagong, Bandar",Chittagong,Bandar,2003,Clean
"S & S Swimwear Ltd.",Woven,5,300,150,42000,"Ski Pants ,Swimwears ,Short Pants ,Jackets","1293, D.T. Road (3rd & 4th Floor), Chittagong, Dhanialapara",Chittagong,"Dhaniala Para",2007,Clean
"S M Sourcing",Knit,1,1,120,5000000,"T-Shirt ,Polo Shirt","Bailmail, Konabari, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"S Plus Composite Ltd.",knit,5,10,94,125000,"Shirts ,Pants ,T-Shirts","South Panishail, Kashimpur, Gazipur","South Panishail, Kashimpur",Gazipur,2013,Clean
"S-21 Apparels Ltd.",Woven,5,715,572,240000,"Shirts ,Jackets ,Pants","Holding # 85 & 98, A to Z Building, Zirabo, Dhaka, Savar",Dhaka,Savar,2005,Clean
"S-Six Fashions (Pvt) Ltd.",Woven,5,550,192,80000,"Shirts ,Pants ,Jackets ,Ladies Dress","River View Complex (6th Floor), 55/1, S.M. Maleh, Narayanganj, Tanbazar",Narayanganj,Tanbazar,2002,Clean
"S. Alam Knitting",Knit,5,150,327,40000,"T-Shirts ,Polo Shirts","Jatrapur, Kurigram, Kulgaon",Kurigram,Kulgaon,2012,Clean
"S. Nahar Garments & Textile Mills Ltd.",Woven,5,700,400,150000,"Shirts ,Blouses","34, Kazi Nazrul Islam Avenue, Dhaka, Kawran Bazar",Dhaka,"Kawran Bazar",1988,Clean
"S. Suhi Ind. Park Knit Composite Ltd.",Knit,5,715,153,2000000,"T-Shirts ,Polo Shirts","Khalik Bhaban (4th & 5th Fl), 3B-4B, Darussalam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2008,Clean
"S. Suhi Industrial Park Ltd.",Sweater,5,1100,450,100000,"Sweaters ,Pullovers ,Cardigans ,Jackets","Zamgara, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2002,Clean
"S.A. Apparel Ltd.",Woven,5,216,115,50000,"Shirts ,Jackets ,Pants","Golden Star Building, 176, Dewanhat, Chittagong","Golden Star Building, 176, Dewanhat",Chittagong,1999,Clean
"S.A. Rahman Sweater Factory Ltd.",Sweater,5,820,400,75000,"Sweaters ,Pullovers ,Cardigans ,Vests","Gouripur, Ashulia, Dhaka, Savar",Dhaka,Savar,2002,Clean
"S.B. Designs Ltd.",Knit,5,180,100,50000,"T-Shirts ,Jackets","1/F, Folder Street, Dhaka, Wari",Dhaka,Wari,1999,Clean
"S.B. Fashion Garments Ltd.",Woven,5,300,125,30000,"Shirts ,Jackets ,Jogging Sets","1/F, Folder Street, Dhaka, Wari",Dhaka,Wari,1992,Clean
"S.B. Fashions Garments",Woven,5,110,82,0,"Jackets ,Shirts","1/F, Folder Street, Dhaka, Wari",Dhaka,Wari,1998,Anomaly
"S.F. Apparels Ltd.",Woven,5,1150,560,200000,"Shorts ,Trousers ,Bermuda ,Skirts","Nayabari (2nd & 3rd Floor), Kanchpur, Narayanganj, Sonargaon",Narayanganj,Sonargaon,1992,Clean
"S.F. Denim Apparels Ltd.",Woven,5,2250,1300,400000,"Trousers ,Shorts ,Skirts ,Bermuda","430/431/B, Tejgaon I/A, Dhaka, Tejgaon",Dhaka,Tejgaon,1998,Clean
"S.F. Fashion Wears Ltd.",Woven,5,1150,570,20000000,"Trousers ,Shorts ,Skirts ,Bermuda","Nayabari (2nd & 3rd Floor), Kanchpur, Narayanganj, Sonargaon",Narayanganj,Sonargaon,2003,Clean
"S.F. Jeans Ltd.",Woven,5,1300,560,225000,"Shirts ,Pants","Karol Shurichala, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2014,Clean
"S.I. Knitting Ltd.",Knit,5,250,98,0,"T-Shirts ,Polo Shirts ,Tank Tops","Plot # 26/1, Shataish Road, Gazipura I/A, Gazipur, Tongi",Gazipur,Tongi,2008,Anomaly
"S.K.R. Attire Ltd.",Woven,5,240,120,60000,"Shirts ,Pants ,Jackets ,Trousers","1608/A, Rajakhali Road, Chaktai, Chittagong, Bakalia",Chittagong,Bakalia,2007,Clean
"S.M.I. Productions (Pvt) Ltd.",Woven,5,250,162,40000,"Shirts ,Dresses ,Pants ,Trousers","Plot # 4-6, Road # 2, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,1998,Clean
"S.N. Sports Wear Ltd.",Woven,5,450,261,140000,"Shirts ,Boy's Shirts ,Girl's Shirts ,Polo Shirts","River City, 1676/G/1, Shah Amanat Connecting Road, Chittagong, Bakalia",Chittagong,Bakalia,2010,Clean
"S.R.S. Fashions (Pvt.) Ltd.",Woven,5,400,210,36000,"Dresses ,Jackets ,Pants","Sarulia (West Tengra), Dhaka, Demra",Dhaka,Demra,1994,Clean
"S.S. Cotton Fabrics Ltd.",Knit,5,320,120,300000,"T-Shirts ,Polo Shirts","191, Chowdhury Complex, Narayanganj, Masdair",Narayanganj,Masdair,1997,Clean
"S.S. International (BD)",Knit,5,100,125,200000,"T-Shirts ,Polo Shirts","191/1, South Bishil, Shomsher Super Market, Sec-1, Dhaka, Mirpur",Dhaka,Mirpur,2010,Clean
"S.S. Sweater Ltd.",Sweater,5,570,450,75000,"Pullovers ,Cardigans ,Sweaters","124, Darail, Sataish, Gazipur, Tongi",Gazipur,Tongi,2004,Clean
"S2L Fshions (Pvt.) Ltd.",Knit,5,450,339,204000,"Shirts ,Jackets ,T-Shirts","Sharifpur, Maleker Bari, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2012,Clean
"SA Moon Fashions (Pvt) Ltd.",Woven,1,320,236,120000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","04 No. Ani Member Road, 46, Jamtola, Eidgha Road, Pagar, Tongi, Gazipur, Gazipur",Gazipur,Gazipur,2022,Clean
"Saad Exim International Ltd.",Woven,1,2,223,150000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","317,Choydana, Gacha, National University, Gazipur, Gazipur",Gazipur,Gazipur,2023,Clean
"Saad Musa Fabrics Ltd. (U-3)",Woven,5,1600,800,350000,"Shirts ,Shorts ,Long Pants","Khaja Road, Kulgaon, Chittagong, Jalalabad",Chittagong,Jalalabad,2001,Clean
"Saad Musa Fabrics Ltd. U-2 (Home Tex)",Woven,5,250,196,0,"Bed Sheet ,Home Textile","Khaja Road, Kulgaon, Chittagong, Jalalabad",Chittagong,Jalalabad,2012,Anomaly
"Saad Musa Hometex & Clothing Ltd.",Knit,5,900,650,850000,"Bed Sheet ,Pillow Case ,Pillow Cover","Khaja Road, Kulgaon, Chittagong, Jalalabad",Chittagong,Jalalabad,2006,Clean
"Saad Saan Apparels Ltd.",Knit,5,5190,3025,46616000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Jamirdia, Habir Bari, Mymensingh, Valuka",Mymensingh,Valuka,2010,Clean
"Saad Sewing Ltd.",Knit,5,220,52,20000,"T-Shirts ,Polo Shirts ,Tank Tops","Dharmaganj, Narayanganj, Fatullah",Narayanganj,Fatullah,1993,Clean
"Saadatia Sweaters Ltd.",Sweater,5,1000,720,100000,Sweaters,"Samir Plaza, Ashulia Tongi Road, Jamgora, Dhaka, Savar",Dhaka,Savar,2005,Clean
"Saasco Garments Ltd.",Woven,5,400,250,130000,"Pants ,Trousers ,Shorts","Plot # M-4/4, Road # 7, Section # 7, Pallabi, Dhaka, Mirpur",Dhaka,Mirpur,1998,Clean
"Saascotex (BD) Ltd.",Woven,5,550,340,130000,"Blouses ,Shirts ,T-Shirts ,Polo Shirts","Plot # 27, Holding # 1/A, Milk Vita Road, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,1999,Clean
"Sababa Apparels",Woven,5,1550,650,250000,"Jackets ,Pants ,Shorts ,Vests","Mulaid, Gazipur, Sreepur",Gazipur,Sreepur,2000,Clean
"Sabarang Fashions Ltd.",Woven,5,530,228,62500,"Ladies Blouses ,Skirts ,Maxi ,Trousers","Plot # 85-88, Block - K, Rupnagar, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,2001,Clean
"Sabit Sports Wear Ltd.",Woven,5,350,208,35000,"Pading Jackets ,Coveralls ,Swimming Shorts","Plot # 33/A/13/1, Satish Sarker Road, Gandaria, Dhaka, Sutrapur",Dhaka,Sutrapur,1998,Clean
"Sadaf Fashions Ltd.",Woven,5,472,250,1000000,"Jackets ,Trousers ,Dresses ,Skirts","768, Askarabad, D.T. Road, Chittagong, North Agrabad",Chittagong,"North Agrabad",1997,Clean
"Sadia Apparels Ltd.",Knit,5,172,75,30000,"Shirts ,Blouses ,Trousers","House # 79, Block - C, Bir Uttam Ziaur Rahman Sarak, Dhaka, Banani",Dhaka,Banani,1993,Clean
"Sadia Fashion Wears Ltd.",Woven,1,3,182,83000,"Shirt ,Pant ,Jacket ,T-Shirt","Talla Road, Khapur, Fatullah, Narayangonj, Narayangonj",Narayanganj,Narayanganj,2022,Clean
"Sadma Fashion Wear Ltd.",Knit,5,850,363,400000,"T-Shirts ,Polo Shirts ,Jackets ,Tank Top","Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2002,Clean
"Sadman Fashion Ltd.",Knit,1,175,112,150000,"T-Shirt ,Polo Shirt","Plot # 12, Road # 1, Section # 7(I/A), Pallabi, Mirpur, Dhaka, Dhaka",Dhaka,Dhaka,2022,Clean
"Safa Knit Wear Ltd.",Woven,5,700,300,300000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","M.S. Tower-03, Siddirganj Pool, Narayanganj, B. Baria",Narayanganj,"B. Baria",2014,Clean
"Safaa Sweaters Ltd.",Sweater,5,742,510,100000,"Sweaters ,Cardigans","Jamgora (4th - 7th Floor), Gachirchat, Dhaka, Savar",Dhaka,Savar,2007,Clean
"Safwan Fashions Ltd.",Sweater,5,100,127,0,Sweater,"Shilmandi, Narsingdi, Narsingdi Sadar",Narsingdi,"Narsingdi Sadar",2016,Anomaly
"Safwan Garments Ltd.",Woven,5,307,143,70000,"Shirts ,Pants ,Shorts","541, Para Doger, Shahjalal Road, Dhaka, Demra",Dhaka,Demra,2009,Clean
"Sag Fashion Ltd.",Woven,1,800,421,166666,"T-Shirts ,Polo Shirts ,Hoodie ,Shirt","637/929, Boro Deora, Gazipur, Gazipur",Gazipur,Gazipur,2006,Clean
"Sagacious Fashions Ltd.",Knit,5,350,100,72020000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","74/1, Deger Chala, Gazipur, National University",Gazipur,"National University",2016,Clean
"Sahaba Yarn Ltd.",Sweater,5,120,200,8333,Sweater,"5, Bishuya Kuribari, Mirzapur Union, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2014,Clean
"Saiham Knit Composite Ltd.",Woven,1,11000,8500,180000,"All kind of knitted & Woven Tops ,Mens Wear ,Ladies Wear","Saiham Nagar, Hobiganj, Hobigonj",Hobigonj,Hobigonj,2012,Clean
"Sailor Moon Sweater Ltd.",Sweater,5,600,606,50000,Sweaters,"Vogra, Gazipur Sadar, Gazipur, Gazipur Sadar",Gazipur,"Gazipur Sadar",2012,Clean
"Sainik Knit Composite Ltd.",Knit,5,150,150,22000,"T-Shirts ,Polo Shirts","Rajabari, Bimail, Gazipur, Konabari",Gazipur,Konabari,2011,Clean
"Saint Garments Ltd.",Woven,5,300,120,49400,"Shirts ,Pants ,Shorts ,Jackets","Jaks Shopping Complex, 316, SK. Mojib Road, Chittagong, Agrabad",Chittagong,Agrabad,1986,Clean
"Saj Knit Designs Ltd.",Woven,1,4,186,600000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","1670/2091, West Sholoshohor Aturer Dipu, Baizid, Chattogram, Chittagong",Chittagong,Chittagong,2022,Clean
"Sajib Fashion Wear Ltd.",Woven,5,350,205,20000,"Paded Jackets ,Coveralls ,Swimming Shorts","Plot # 33/A/13/1, Satish Sarker Road, Gandaria, Dhaka, Sutrapur",Dhaka,Sutrapur,2003,Clean
"Sajib Knitwear & Garments Ltd.",Knit,5,935,528,468000,"T-Shirts ,Sweaters","Tatki, Tarabo, Narayanganj, Rupganj",Narayanganj,Rupganj,1993,Clean
"Sajukin Apparels Ltd.",Woven,5,500,100,150000,"Shirts ,Trousers ,Pants ,Shorts","144, Mirash Para, Arichpur, BSCIC, Gazipur, Tongi",Gazipur,Tongi,2011,Clean
"Sakib Garments Ltd.",Woven,5,700,270,5000000,"Pants ,Trousers ,Shorts","Plot # 25 & 26, Road # 1, Block - Kha, Section # 10, Dhaka, Mirpur",Dhaka,Mirpur,2010,Clean
"Sakoatex Ltd.",Sweater,5,100,1063,221000,Sweater,"Plot # A-280-290, B-275-277, BSCIC I/E, Rajshahi, Boalia",Rajshahi,Boalia,2015,Clean
